Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position,Investigator,Project,Tissue,Type,EBV,Cell_Line,Wildtype,Normal,Coment,Scan_Date,GDSC1,GDSC2,cosmic_id
PC-14,C01,SMET0029,NA,NA,7796806010,R01C01,Sebastian Moran,NA,LUNG,NON SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,lung,lung_NSCLC_adenocarcinoma,753608
U-937,D01,SMET0029,NA,NA,7796806010,R01C02,Sebastian Moran,NA,HAEMATOPOIETIC AND LYMPHOID TISSUE,DIFFUSE LARGE B CELL LYMPHOMA,No,YES,Yes,No,NA,2012-05-18,blood,lymphoid_neoplasm other,998206
LOVO,C02,SMET0029,NA,NA,7796806010,R02C01,Sebastian Moran,NA,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,large_intestine,907790
COLO-320,D02,SMET0029,NA,NA,7796806010,R02C02,Javi Carmona,Coltheres,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,large_intestine,1290773
LP-1,C04,SMET0029,NA,NA,7796806010,R04C01,Oliver Galm,Leukemia,HAEMATOPOIETIC AND LYMPHOID TISSUE,MULTIPLE MYELOMA,No,YES,Yes,No,NA,2012-05-18,blood,myeloma,907791
HUP-T4,D04,SMET0029,NA,NA,7796806010,R04C02,Sebastian Moran,NA,PANCREAS,CARCINOMA,No,YES,Yes,No,NA,2012-05-18,pancreas,pancreas,907286
RAJI,C05,SMET0029,NA,NA,7796806010,R05C01,Sebastian Moran,NA,HAEMATOPOIETIC AND LYMPHOID TISSUE,BURKITT LYMPHOMA,No,YES,Yes,No,NA,2012-05-18,blood,Burkitt_lymphoma,909262
OPM-2,D05,SMET0029,NA,NA,7796806010,R05C02,Oliver Galm,Leukemia,HAEMATOPOIETIC AND LYMPHOID TISSUE,MULTIPLE MYELOMA,No,YES,Yes,No,NA,2012-05-18,blood,myeloma,909249
LS-411N,D06,SMET0029,NA,NA,7796806010,R06C02,Sebastian Moran,NA,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,large_intestine,907794
MINO,E02,SMET0029,NA,NA,7796806012,R02C01,Paula Lopez,Mantle Cell Lymphoma,HAEMATOPOIETIC AND LYMPHOID TISSUE,MANTLE CELL LYMPHOMA,No,YES,Yes,No,NA,2012-05-18,NA,NA,NA
HCC38,E04,SMET0029,NA,NA,7796806012,R04C01,Sebastian Moran,NA,BREAST,DUCTAL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,breast,breast,749717
SW1990,F04,SMET0029,NA,NA,7796806012,R04C02,Sebastian Moran,NA,PANCREAS,DUCTAL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,pancreas,pancreas,910907
BT-474,E05,SMET0029,NA,NA,7796806012,R05C01,Sebastian Moran,NA,BREAST,DUCTAL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,breast,breast,946359
EFO-27,H01,SMET0029,NA,NA,7796806034,R01C02,Sebastian Moran,NA,OVARY,MUCINOUS CARCINOMA,No,YES,Yes,No,NA,2012-05-18,urogenital_system,ovary,906852
SNU-5,G02,SMET0029,NA,NA,7796806034,R02C01,Sebastian Moran,NA,STOMACH,ADENOCARCINOMA (UNDIFFERENTIATED),No,YES,Yes,No,NA,2012-05-18,NA,NA,NA
SK-N-AS,H02,SMET0029,NA,NA,7796806034,R02C02,Sebastian Moran,NA,AUTONOMIC GANGLIA,NEUROBLASTOMA,No,YES,Yes,No,NA,2012-05-18,nervous_system,neuroblastoma,724828
LCLC-103H,H03,SMET0029,NA,NA,7796806034,R03C02,Sebastian Moran,NA,LUNG,LARGE CELL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,lung,lung_NSCLC_large cell,753586
NCI-H1573,H04,SMET0029,NA,NA,7796806034,R04C02,Sebastian Moran,NA,LUNG,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,lung,lung_NSCLC_adenocarcinoma,908472
NCI-H510A,G05,SMET0029,NA,NA,7796806034,R05C01,Sebastian Moran,NA,LUNG,SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,lung,lung_small_cell_carcinoma,753605
JURKAT,G06,SMET0029,NA,NA,7796806034,R06C01,Sebastian Moran,NA,HAEMATOPOIETIC AND LYMPHOID TISSUE,ACUTE LYMPHOBLASTIC LEUKEMIA,No,YES,Yes,No,NA,2012-05-18,blood,T_cell_leukemia,998184
SK-N-BE(2),A08,SMET0029,NA,NA,7796806054,R02C01,Sebastian Moran,NA,AUTONOMIC GANGLIA,NEUROBLASTOMA,No,YES,Yes,No,NA,2012-05-18,nervous_system,neuroblastoma,1331058
KYSE-150,A09,SMET0029,NA,NA,7796806054,R03C01,Sebastian Moran,NA,ESOPHAGUS,SQUAMOUS CELL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,aero_digestive_tract,oesophagus,907317
LN-18,B09,SMET0029,NA,NA,7796806054,R03C02,Sebastian Moran,NA,CENTRAL NERVOUS SYSTEM,ASTROCYTOMA,No,YES,Yes,No,NA,2012-05-18,nervous_system,glioma,1240168
HEL,A10,SMET0029,NA,NA,7796806054,R04C01,Sebastian Moran,NA,HAEMATOPOIETIC AND LYMPHOID TISSUE,ACUTE MYELOID LEUKEMIA,No,YES,Yes,No,NA,2012-05-18,blood,acute_myeloid_leukaemia,907053
MOLT-16,B10,SMET0029,NA,NA,7796806054,R04C02,Sebastian Moran,NA,HAEMATOPOIETIC AND LYMPHOID TISSUE,ACUTE LYMPHOBLASTIC LEUKEMIA,No,YES,Yes,No,NA,2012-05-18,blood,lymphoblastic_T_cell_leukaemia,908147
SW837,B12,SMET0029,NA,NA,7796806054,R06C02,Sebastian Moran,NA,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,large_intestine,909755
NCI-H441,C07,SMET0029,NA,NA,7878191138,R01C01,Sebastian Moran,NA,LUNG,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,lung,lung_NSCLC_adenocarcinoma,908460
HLF,C08,SMET0029,NA,NA,7878191138,R02C01,Sebastian Moran,NA,LIVER,HEPATOCELLULAR CARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,liver,998181
SK-N-FI,C09,SMET0029,NA,NA,7878191138,R03C01,Sebastian Moran,NA,AUTONOMIC GANGLIA,NEUROBLASTOMA,No,YES,Yes,No,NA,2012-05-18,nervous_system,neuroblastoma,688087
SW1417,D10,SMET0029,NA,NA,7878191138,R04C02,Sebastian Moran,NA,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,large_intestine,909747
GDM-1,C11,SMET0029,NA,NA,7878191138,R05C01,Oliver Galm,Leukemia,HAEMATOPOIETIC AND LYMPHOID TISSUE,ACUTE MYELOID LEUKEMIA,No,YES,Yes,No,NA,2012-05-18,blood,acute_myeloid_leukaemia,906870
SK-UT-1,C12,SMET0029,NA,NA,7878191138,R06C01,Sebastian Moran,NA,SOFT TISSUE,LEIOMYOSARCOMA,No,YES,Yes,No,NA,2012-05-18,soft_tissue,soft_tissue_other,909732
LS-1034,D12,SMET0029,NA,NA,7878191138,R06C02,Sebastian Moran,NA,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,large_intestine,917486
IMR-32,E07,SMET0029,NA,NA,7878191159,R01C01,Sebastian Moran,NA,AUTONOMIC GANGLIA,NEUROBLASTOMA,No,YES,Yes,No,NA,2012-05-18,nervous_system,neuroblastoma,998183
UACC-812,F08,SMET0029,NA,NA,7878191159,R02C02,Sebastian Moran,NA,BREAST,DUCTAL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,breast,breast,910910
YAPC,E09,SMET0029,NA,NA,7878191159,R03C01,Sebastian Moran,NA,PANCREAS,CARCINOMA,No,YES,Yes,No,NA,2012-05-18,pancreas,pancreas,909904
SNU-182,F11,SMET0029,NA,NA,7878191159,R05C02,Anna Portela,Heptromics,LIVER,HEPATOCELLULAR CARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,liver,1240216
KP-N-SI9S,E12,SMET0029,NA,NA,7878191159,R06C01,Sebastian Moran,NA,AUTONOMIC GANGLIA,NEUROBLASTOMA,No,YES,Yes,No,NA,2012-05-18,nervous_system,neuroblastoma,907315
NCI-H2171,G08,SMET0029,NA,NA,7878191164,R02C01,Sebastian Moran,NA,LUNG,SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,lung,lung_small_cell_carcinoma,688015
HDLM-2,H12,SMET0029,NA,NA,7878191164,R06C02,Sebastian Moran,NA,HAEMATOPOIETIC AND LYMPHOID TISSUE,HODKIN LYMPHOMA,No,YES,Yes,No,NA,2012-05-18,blood,Hodgkin_lymphoma,924110
NCI-H1703,A01,SMET0031,NA,NA,7878191064,R01C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,908474
RERF-LC-MS,B01,SMET0031,NA,NA,7878191064,R01C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,910931
CPC-N,A02,SMET0031,NA,NA,7878191064,R02C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,753547
NCI-H211,B02,SMET0031,NA,NA,7878191064,R02C02,Sebastian Moran,Sanger Cell Lines,LUNG,SMALL CELL LUNG CANCER,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,1240189
NCI-H1915,A03,SMET0031,NA,NA,7878191064,R03C01,Sebastian Moran,Sanger Cell Lines,LUNG,NON-SMALL CELL LUNG CANCER,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_large cell,1240184
NCI-H526,A04,SMET0031,NA,NA,7878191064,R04C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,688025
NCI-H82,B04,SMET0031,NA,NA,7878191064,R04C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,688031
NCI-H292,A05,SMET0031,NA,NA,7878191064,R05C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,753604
SBC-5,B05,SMET0031,NA,NA,7878191064,R05C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,713880
NCI-H3122,A06,SMET0031,NA,NA,7878191064,R06C01,Sebastian Moran,Sanger Cell Lines,LUNG,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,1240190
NCI-H446,B06,SMET0031,NA,NA,7878191064,R06C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,688023
NCI-H2291,C01,SMET0031,NA,NA,7878191066,R01C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,724874
NCI-H661,D01,SMET0031,NA,NA,7878191066,R01C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_large cell,687829
NCI-H520,C02,SMET0031,NA,NA,7878191066,R02C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_squamous_cell_carcinoma,908443
NCI-H146,D02,SMET0031,NA,NA,7878191066,R02C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,910899
NCI-H2228,C03,SMET0031,NA,NA,7878191066,R03C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,687816
COR-L105,D03,SMET0031,NA,NA,7878191066,R03C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,906805
NCI-H2452,C04,SMET0031,NA,NA,7878191066,R04C01,Sebastian Moran,Sanger Cell Lines,PLEURA,MESOTHELIOMA,No,YES,Yes,No,NA,2012-06-29,lung,mesothelioma,908462
IST-SL1,D04,SMET0031,NA,NA,7878191066,R04C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,753564
NCI-H1666,D05,SMET0031,NA,NA,7878191066,R05C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,908473
EBC-1,D06,SMET0031,NA,NA,7878191066,R06C02,Sebastian Moran,Sanger Cell Lines,LUNG,SQUAMOUS CELL CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_squamous_cell_carcinoma,753554
MPP-89,E01,SMET0031,NA,NA,7970368089,R01C01,Sebastian Moran,Sanger Cell Lines,PLEURA,MESOTHELIOMA,No,YES,Yes,No,NA,2012-06-29,lung,mesothelioma,908150
SK-MES-1,F01,SMET0031,NA,NA,7970368089,R01C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_squamous_cell_carcinoma,909728
NCI-H1792,F02,SMET0031,NA,NA,7970368089,R02C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,724868
NCI-H2030,E03,SMET0031,NA,NA,7970368089,R03C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,722045
NCI-H358,F03,SMET0031,NA,NA,7970368089,R03C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,908465
LB647-SCLC,E04,SMET0031,NA,NA,7970368089,R04C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_small_cell_carcinoma,753582
SW900,F04,SMET0031,NA,NA,7970368089,R04C02,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_squamous_cell_carcinoma,724879
NCI-H2347,E05,SMET0031,NA,NA,7970368089,R05C01,Sebastian Moran,Sanger Cell Lines,LUNG,CARCINOMA,No,YES,Yes,No,NA,2012-06-29,lung,lung_NSCLC_adenocarcinoma,687820
